k = 2,k = 5,k = 10
137342.98348700925,117611.7787376033,118503.7996179438
123390.53890446125,121040.43102068586,119192.80006712828
120183.96972156798,122000.59190703472,119482.468775401
120890.57930369179,120363.67886369355,119870.69683876375
118818.47305146766,121988.21148136808,123401.78587569813
126763.62752966663,118033.59984418238,113952.91226078128
125931.85823633152,125332.56493850602,114915.24366922931
130482.85509312712,121598.82481259224,120512.86416064212
125168.05309737961,121733.43055687209,123492.62594489954
122131.24101054593,123786.9070360609,118998.67966695555
119660.07282310465,119735.8882849842,117720.51203327236
120065.81119639751,123657.3795602319,115682.04456969576
126734.06423029315,126465.26413315425,121342.56379713787
129988.7706090502,119937.69150057856,115460.62230055587
122496.54971578023,120926.43996188429,116931.82130966801
133642.96641989128,120357.64804619913,118253.6350786346
124851.38002126031,119944.74539711213,118118.5831831426
137680.9545015979,122042.92037942701,112240.82757281355
122464.29468934842,125369.65375671699,120591.8204156577
128740.33989689531,119897.0584621447,119011.85683140403
130320.08589388225,115731.90219685559,114801.14325680255
134269.2614893601,120697.12336124275,120663.25710005984
134044.21050138335,119962.18888086318,118536.66841502982
131845.82134620074,119256.25960261891,117110.45199213798
120117.16049343605,120699.43726655259,118830.74801522872
126285.95950237199,123992.38856541178,118569.8399816988
124227.56351084074,113707.33535113439,121169.02689012443
126398.40188913688,123281.34447007519,118833.97326981869
123202.43751414379,119923.27480462284,116965.16251584319
130477.16825661718,116419.853264885,119013.67440617776
